,Likes,Retweets,Text,User Location
93,0,0,RT @MrAndyNgo: Steven Carillo has been sentenced to 41 years for a deadly attack inspired by #BLM during a riot in Oakland. Liberal press s…,"Little Rock, AR"
94,0,0,"RT @ctartworld: https://t.co/7if3lsojyb
My Beyonce portrait !!!
✊🏿😊🐝🎨@beyonce
#youtube #CTARTWORLD #blm #beyonce #behive #art #artwork #dra…",WorldWide
95,0,0,RT @MrAndyNgo: Steven Carillo has been sentenced to 41 years for a deadly attack inspired by #BLM during a riot in Oakland. Liberal press s…,
96,0,0,@MikeGriffiths17 #abortionrights #AbortionIsHealthcare #ProChoice #AbortionRightsAreHumanRights… https://t.co/v9iuY3WUVV,
97,0,0,"Then if they have two black people it’s like, THIS IS THE FIRST TIME EVER THAT TWO BLACK PEOPLE WERE ON CAMERA IN T… https://t.co/IDqQTyYA7R",Starks Pond
98,0,0,#newcar #newwhip #wipitout #car #friends #blm,
99,0,0,"RT @ctartworld: https://t.co/7if3lsojyb
My Beyonce portrait !!!
✊🏿😊🐝🎨@beyonce
#youtube #CTARTWORLD #blm #beyonce #behive #art #artwork #dra…",
100,0,0,RT @MrAndyNgo: Steven Carillo has been sentenced to 41 years for a deadly attack inspired by #BLM during a riot in Oakland. Liberal press s…,Wooley Swamp in Booger Woods
101,0,0,RT @MrAndyNgo: Steven Carillo has been sentenced to 41 years for a deadly attack inspired by #BLM during a riot in Oakland. Liberal press s…,"California, USA"
102,0,0,RT @TFlendrix: #dnc #democrats #guncontrol #Repealthe2ndAmendment #hitler #nazi #nazis #fascism #antifa #blm #BlackLivesMatter #pride #lbgt…,"Washington, DC"
103,0,0,"@SenTedCruz [Remember this? #BLM]
https://t.co/HerWSqx6JN","Seattle, WA"
104,0,0,@hodgetwins That's because the #LGBTQ scumbags are allowed to act like shit stains. Same goes for #BLM,
105,0,0,#NBAFinals #BLM https://t.co/GpcROOgO12,"Virginia, USA"
106,0,0,RT @MrAndyNgo: Steven Carillo has been sentenced to 41 years for a deadly attack inspired by #BLM during a riot in Oakland. Liberal press s…,United States
107,0,0,RT @MrAndyNgo: Steven Carillo has been sentenced to 41 years for a deadly attack inspired by #BLM during a riot in Oakland. Liberal press s…,
108,0,1,#dnc #democrats #guncontrol #Repealthe2ndAmendment #hitler #nazi #nazis #fascism #antifa #blm #BlackLivesMatter… https://t.co/472PvaLgoW,Church of the Painful Truth
109,0,0,RT @MrAndyNgo: Steven Carillo has been sentenced to 41 years for a deadly attack inspired by #BLM during a riot in Oakland. Liberal press s…,Michigan
110,0,0,@MikeGriffiths17 #abortionrights #AbortionIsHealthcare #ProChoice #AbortionRightsAreHumanRights… https://t.co/5mICx1ltm7,
111,4,2,"Two years ago, @Slausongirlnews was in Minneapolis, Minnesota during the George Floyd protest. As an independent jo… https://t.co/W59cmHWq5p","Los Angeles, CA"
112,0,0,RT @MrAndyNgo: Steven Carillo has been sentenced to 41 years for a deadly attack inspired by #BLM during a riot in Oakland. Liberal press s…,"Tennessee, USA"
113,0,0,RT @MrAndyNgo: Steven Carillo has been sentenced to 41 years for a deadly attack inspired by #BLM during a riot in Oakland. Liberal press s…,"North Carolina, USA"
114,0,0,RT @MrAndyNgo: Steven Carillo has been sentenced to 41 years for a deadly attack inspired by #BLM during a riot in Oakland. Liberal press s…,"Florida, USA"
115,0,0,"RT @ctartworld: https://t.co/7if3lsojyb
My Beyonce portrait !!!
✊🏿😊🐝🎨@beyonce
#youtube #CTARTWORLD #blm #beyonce #behive #art #artwork #dra…",
116,0,0,"RT @ctartworld: Beyoncé🐝
(how I did it: https://t.co/7if3lsFUpJ )
#artoftheday #art #artwork #draw #drawing #illustration #fanart #artsy #p…",
117,0,0,"@LindseyGrahamSC [Glad to hear you're against ""political corruption and Good ole Boy politics.""
Remember this BS?… https://t.co/ztOpn3K2Xz","Seattle, WA"
118,0,0,RT @MrAndyNgo: Steven Carillo has been sentenced to 41 years for a deadly attack inspired by #BLM during a riot in Oakland. Liberal press s…,"Colorado, USA"
119,0,0,RT @MrAndyNgo: Steven Carillo has been sentenced to 41 years for a deadly attack inspired by #BLM during a riot in Oakland. Liberal press s…,"DFW, Texas"
120,0,0,RT @MrAndyNgo: Steven Carillo has been sentenced to 41 years for a deadly attack inspired by #BLM during a riot in Oakland. Liberal press s…,
121,0,0,RT @MrAndyNgo: Steven Carillo has been sentenced to 41 years for a deadly attack inspired by #BLM during a riot in Oakland. Liberal press s…,"Arizona, USA"
122,5,0,"https://t.co/7if3lsojyb
My Beyonce portrait !!!
✊🏿😊🐝🎨@beyonce
#youtube #CTARTWORLD #blm #beyonce #behive #art… https://t.co/XBDLZuyyQa",
123,0,0,AJ Capital Buys More Little River Parcels To Redevelop Miami District https://t.co/faHDLSuoPX #portland… https://t.co/69EBZVW6PP,"Portland, OR"
124,0,0,"RT @ctartworld: Beyoncé🐝
(how I did it: https://t.co/7if3lsFUpJ )
#artoftheday #art #artwork #draw #drawing #illustration #fanart #artsy #p…",
125,0,0,RT @MrAndyNgo: Steven Carillo has been sentenced to 41 years for a deadly attack inspired by #BLM during a riot in Oakland. Liberal press s…,"Free Speech, U.S.A."
126,0,0,RT @MrAndyNgo: Steven Carillo has been sentenced to 41 years for a deadly attack inspired by #BLM during a riot in Oakland. Liberal press s…,
127,0,0,RT @MrAndyNgo: Steven Carillo has been sentenced to 41 years for a deadly attack inspired by #BLM during a riot in Oakland. Liberal press s…,"Wisconsin, USA"
128,0,0,RT @MrAndyNgo: Steven Carillo has been sentenced to 41 years for a deadly attack inspired by #BLM during a riot in Oakland. Liberal press s…,
129,0,0,RT @MrAndyNgo: Steven Carillo has been sentenced to 41 years for a deadly attack inspired by #BLM during a riot in Oakland. Liberal press s…,
130,0,0,"@LindseyGrahamSC [Glad to hear you're against ""good ole boy politics and corruption"".
Remember this BS? #BLM]
https://t.co/i2Mq0wnqx4","Seattle, WA"
131,4,3,"https://t.co/7if3lsojyb
My Beyonce portrait !!!
✊🏿😊🐝🎨@beyonce
#youtube #CTARTWORLD #blm #beyonce #behive #art… https://t.co/JKBDFcJG36",
132,0,0,RT @MrAndyNgo: Steven Carillo has been sentenced to 41 years for a deadly attack inspired by #BLM during a riot in Oakland. Liberal press s…,
133,0,0,RT @MrAndyNgo: Steven Carillo has been sentenced to 41 years for a deadly attack inspired by #BLM during a riot in Oakland. Liberal press s…,"Bethesda, MD"
134,0,0,RT @teryanarashayx: PLEASE SHARE!!! #OklahomaCountyJail #BLM #FREETHEM ‼️✊💙 https://t.co/c5PmWgRBfU,Dade County 
135,0,0,@Michael20224 @yesisworld And yet all the #blmterrorist supporters keep yelling the problem is white people. That… https://t.co/Ll0YbqwR9i,
136,0,0,"@LindseyGrahamSC [Remember this? #BLM]
https://t.co/GAQaYCmHCV","Seattle, WA"
137,0,0,RT @MrAndyNgo: Steven Carillo has been sentenced to 41 years for a deadly attack inspired by #BLM during a riot in Oakland. Liberal press s…,
138,0,0,RT @MrAndyNgo: Steven Carillo has been sentenced to 41 years for a deadly attack inspired by #BLM during a riot in Oakland. Liberal press s…,"Washington, DC"
139,0,0,RT @MrAndyNgo: Steven Carillo has been sentenced to 41 years for a deadly attack inspired by #BLM during a riot in Oakland. Liberal press s…,
140,0,0,RT @MrAndyNgo: Steven Carillo has been sentenced to 41 years for a deadly attack inspired by #BLM during a riot in Oakland. Liberal press s…,
141,0,0,RT @MrAndyNgo: Steven Carillo has been sentenced to 41 years for a deadly attack inspired by #BLM during a riot in Oakland. Liberal press s…,Mississippi Delta
142,0,0,RT @TheRealBossy1: 😘 ((XBOX)) Saturday Night Vibezzzz -  !zleague  😘#BLM https://t.co/0RK3bJagkf,"Birmingham, Alabama"
143,0,0,RT @MrAndyNgo: Steven Carillo has been sentenced to 41 years for a deadly attack inspired by #BLM during a riot in Oakland. Liberal press s…,
144,0,0,RT @MrAndyNgo: Steven Carillo has been sentenced to 41 years for a deadly attack inspired by #BLM during a riot in Oakland. Liberal press s…,
145,0,0,Examination of hair experiences among girls with #Black/African American identities. #BLM #BlackGirlMagic  https://t.co/u42yWB9OfX,
146,0,0,Far leftist extremist #BLM https://t.co/pHwQYM9Rdq,
147,0,0,RT @MrAndyNgo: Steven Carillo has been sentenced to 41 years for a deadly attack inspired by #BLM during a riot in Oakland. Liberal press s…,
148,0,0,RT @MrAndyNgo: Steven Carillo has been sentenced to 41 years for a deadly attack inspired by #BLM during a riot in Oakland. Liberal press s…,"PNW,USA (Inslee is a d-bag!)"
149,0,0,"RT @Claudette966: HAPPY SUNDAY GET TOGETHER 
#BLM #Buffalo #BlackLivesMatter
WE SUPPORT
#DemVoice1 #VoteBlue2022 🇺🇸 
#BidenHarris #HumanRig…","Santa Cruz, CA"
150,0,0,RT @MrAndyNgo: Steven Carillo has been sentenced to 41 years for a deadly attack inspired by #BLM during a riot in Oakland. Liberal press s…,
151,0,0,RT @MrAndyNgo: Steven Carillo has been sentenced to 41 years for a deadly attack inspired by #BLM during a riot in Oakland. Liberal press s…,
152,0,0,RT @MrAndyNgo: Steven Carillo has been sentenced to 41 years for a deadly attack inspired by #BLM during a riot in Oakland. Liberal press s…,
153,3,1,Valo timeee || !VK !newvid || #BLM https://t.co/bz34NRe34y,
154,0,0,RT @MrAndyNgo: Steven Carillo has been sentenced to 41 years for a deadly attack inspired by #BLM during a riot in Oakland. Liberal press s…,
155,0,0,"@GeorgeTakei Democrats PROVIDE TALIBAN TERRORISTS over 300,000 U.S. Military weapons in Afghanistan! Got 13 soldier… https://t.co/BlpVeFllR1",
156,0,0,"@LindseyGrahamSC [Remember this? #BLM]
https://t.co/RlHFwZVM94","Seattle, WA"
157,0,0,RT @MrAndyNgo: Steven Carillo has been sentenced to 41 years for a deadly attack inspired by #BLM during a riot in Oakland. Liberal press s…,
158,0,0,RT @MrAndyNgo: Steven Carillo has been sentenced to 41 years for a deadly attack inspired by #BLM during a riot in Oakland. Liberal press s…,
159,0,0,RT @MrAndyNgo: Steven Carillo has been sentenced to 41 years for a deadly attack inspired by #BLM during a riot in Oakland. Liberal press s…,
160,0,0,RT @teryanarashayx: PLEASE SHARE!!! #OklahomaCountyJail #BLM #FREETHEM ‼️✊💙 https://t.co/c5PmWgRBfU,
161,0,0,RT @MrAndyNgo: Steven Carillo has been sentenced to 41 years for a deadly attack inspired by #BLM during a riot in Oakland. Liberal press s…,"Birmingham, AL"
162,0,0,"RT @jjessbess: - hi check out my $5 onlyfans 😘
- donating 30% of this months profits to BLM movement 
https://t.co/VUWgWghzRg
#BLM #Justice…",
163,1,0,"@Michael20224 @yesisworld mob psychology
#BLM 
#BlackOnBlackCrime",
164,0,0,RT @MrAndyNgo: Steven Carillo has been sentenced to 41 years for a deadly attack inspired by #BLM during a riot in Oakland. Liberal press s…,
165,0,0,"@LindseyGrahamSC [After all, what could possibly happen when the @TheJusticeDept is off the leash?
Remember this BS… https://t.co/n0zoVKR2z8","Seattle, WA"
166,0,0,RT @MrAndyNgo: Steven Carillo has been sentenced to 41 years for a deadly attack inspired by #BLM during a riot in Oakland. Liberal press s…,
167,0,0,RT @MrAndyNgo: Steven Carillo has been sentenced to 41 years for a deadly attack inspired by #BLM during a riot in Oakland. Liberal press s…,
168,0,0,"RT @CrebbsMaynard: Biden &amp; Guns. Hypocrite!
He armed Ukrainian civilians to fight the Russians.
Biden doesn't need to arm Americans to figh…","44.9778° N, 93.2650° W"
169,0,0,RT @MrAndyNgo: Steven Carillo has been sentenced to 41 years for a deadly attack inspired by #BLM during a riot in Oakland. Liberal press s…,
170,0,0,RT @MrAndyNgo: Steven Carillo has been sentenced to 41 years for a deadly attack inspired by #BLM during a riot in Oakland. Liberal press s…,
171,0,0,RT @MrAndyNgo: Steven Carillo has been sentenced to 41 years for a deadly attack inspired by #BLM during a riot in Oakland. Liberal press s…,Colorado
172,0,0,RT @MrAndyNgo: Steven Carillo has been sentenced to 41 years for a deadly attack inspired by #BLM during a riot in Oakland. Liberal press s…,Wisconsin 
173,0,0,RT @MrAndyNgo: Steven Carillo has been sentenced to 41 years for a deadly attack inspired by #BLM during a riot in Oakland. Liberal press s…,"Boca Raton, FL"
174,0,0,RT @MrAndyNgo: Steven Carillo has been sentenced to 41 years for a deadly attack inspired by #BLM during a riot in Oakland. Liberal press s…,Land of the Free
175,1,1,😘 ((XBOX)) Saturday Night Vibezzzz -  !zleague  😘#BLM https://t.co/0RK3bJagkf,
